Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_36,5:GPU,Yes,3650.1,97.0,81.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_36,5:GPU,Yes,3650.1,89.2,79.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_36,5:GPU,Yes,3650.1,61.8,61.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_36,5:GPU,Yes,3650.1,91.3,78.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_36,5:GPU,Yes,3650.1,86.0,63.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_36,5:GPU,Yes,3650.1,28.3,39.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_36,5:GPU,Yes,3650.1,90.0,52.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_36,5:GPU,Yes,3650.1,60.8,42.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_36,5:GPU,Yes,3650.1,59.5,42.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_36,5:GPU,Yes,3650.1,62.7,39.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_12,2:GPU,Yes,1913.7,96.7,80.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_12,2:GPU,Yes,1913.7,70.8,78.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_12,2:GPU,Yes,1913.7,95.3,78.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_12,2:GPU,Yes,1913.7,72.5,61.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_12,2:GPU,Yes,1913.7,67.8,59.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_12,2:GPU,Yes,1913.7,64.0,53.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_12,2:GPU,Yes,1913.7,51.3,39.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_12,2:GPU,Yes,1913.7,36.7,41.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_12,2:GPU,Yes,1913.7,68.2,43.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_12,2:GPU,Yes,1913.7,57.2,37.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_4,1:GPU,Yes,1334.8,96.0,80.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_4,1:GPU,Yes,1334.8,95.3,79.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_4,1:GPU,Yes,1334.8,77.8,72.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_4,1:GPU,Yes,1334.8,69.0,65.0
